latitude,longitude,measured_on,number of days reported,precipitation monthlies
41.92614,-73.06749,01-04-2020,30,71.9
41.92614,-73.06749,01-05-2020,31,38.6
41.92614,-73.06749,01-06-2020,30,24
32.4,-104.2,01-09-2019,30,25.3
32.4,-104.2,01-11-2019,30,19.8
32.4,-104.2,01-12-2019,31,0
32.4,-104.2,01-01-2020,31,5.4
32.4,-104.2,01-02-2020,29,5.7
32.4,-104.2,01-04-2020,30,0
32.4,-104.2,01-05-2020,31,0
32.4,-104.2,01-06-2020,30,6.5
34.7006,-93.0625,01-10-2019,31,86.1
34.7006,-93.0625,01-02-2020,29,102.3
34.7006,-93.0625,01-04-2020,30,114.5
34.7006,-93.0625,01-05-2020,31,107.4
34.7006,-93.0625,01-06-2020,30,156.7
34.7006,-93.0625,01-08-2020,31,130.4
42.60916,-71.23777,01-08-2020,31,43.1
42.334986,-85.176877,01-09-2019,30,22.3
42.334986,-85.176877,01-10-2019,31,35.1
42.334986,-85.176877,01-11-2019,30,7.9
42.334986,-85.176877,01-12-2019,31,18.4
42.334986,-85.176877,01-01-2020,31,16.6
42.334986,-85.176877,01-02-2020,29,4.1
42.334986,-85.176877,01-04-2020,30,14.9
42.334986,-85.176877,01-05-2020,31,39.8
42.334986,-85.176877,01-06-2020,30,18.9
42.334986,-85.176877,01-08-2020,31,13
42.0724,-71.332,01-09-2019,30,41.2
42.0724,-71.332,01-10-2019,31,86.1
42.0724,-71.332,01-11-2019,30,66.4
42.0724,-71.332,01-12-2019,31,87.9
42.0724,-71.332,01-01-2020,31,29.1
42.0724,-71.332,01-02-2020,29,58.1
42.0724,-71.332,01-04-2020,30,115.5
42.0724,-71.332,01-05-2020,31,69.6
42.0724,-71.332,01-06-2020,30,103.2
47.4,-92.9,01-11-2019,30,6.1
47.4,-92.9,01-04-2020,30,29
47.4,-92.9,01-05-2020,31,22.9
38.7,-78.5,01-11-2019,30,11.7
38.7,-78.5,01-12-2019,31,11.9
38.7,-78.5,01-02-2020,29,13.3
41.4,-73.8,01-09-2019,30,4.6
41.4,-73.8,01-10-2019,31,41.8
41.4,-73.8,01-11-2019,30,17.3
41.4,-73.8,01-12-2019,31,26.3
41.4,-73.8,01-01-2020,31,10.7
41.4,-73.8,01-02-2020,29,16.4
41.4,-73.8,01-04-2020,30,26.3
41.4,-73.8,01-05-2020,31,25.2
34.1,-117.3,01-12-2019,31,47.4
34.1,-117.3,01-04-2020,30,62
34.1,-117.3,01-06-2020,30,0
34.1,-117.3,01-08-2020,31,0
34.460124,-93.049613,01-05-2019,31,68.1
34.460124,-93.049613,01-07-2019,31,19.2
34.460124,-93.049613,01-09-2019,30,1.3
34.460124,-93.049613,01-10-2019,31,33.7
34.460124,-93.049613,01-11-2019,30,20.3
34.460124,-93.049613,01-08-2020,31,18
40.3,-74.1,01-09-2019,30,9.5
40.3,-74.1,01-10-2019,31,24.2
40.3,-74.1,01-02-2020,29,15.4
40.3,-74.1,01-04-2020,30,22.9
40.3,-74.1,01-06-2020,30,5.9
47.5,-121.8,01-04-2020,30,48.7
47.5,-121.8,01-06-2020,30,38.7
47.5,-121.8,01-08-2020,31,10.3
42.6,-77.4,01-09-2019,30,37.2
42.6,-77.4,01-11-2019,30,28.4
42.6,-77.4,01-12-2019,31,58.7
42.6,-77.4,01-01-2020,31,29.4
42.6,-77.4,01-02-2020,29,40.9
42.6,-77.4,01-04-2020,30,43.6
42.6,-77.4,01-05-2020,31,53.1
42.6,-77.4,01-08-2020,31,69.6
33,-97.3,01-02-2020,29,59.9
33,-97.3,01-04-2020,30,40
38.6,-78.6,01-12-2019,31,12.1
38.6,-78.6,01-02-2020,29,12.3
39.8407,-77.5434,01-09-2019,30,2.3
39.8407,-77.5434,01-10-2019,31,30.3
39.8407,-77.5434,01-11-2019,30,15.7
39.8407,-77.5434,01-12-2019,31,19.2
39.8407,-77.5434,01-01-2020,31,13.3
39.8407,-77.5434,01-02-2020,29,14.3
39.8407,-77.5434,01-04-2020,30,28.9
39.8407,-77.5434,01-05-2020,31,10.7
39.8407,-77.5434,01-06-2020,30,13.7
40.3017,-76.5915,01-09-2019,30,10.3
40.3017,-76.5915,01-10-2019,31,34.4
40.3017,-76.5915,01-12-2019,31,19.3
40.3017,-76.5915,01-02-2020,29,13.4
40.3017,-76.5915,01-05-2020,31,28.5
35.2,-78.5,01-11-2019,30,47.3
35.2,-78.5,01-01-2020,31,60
35.2,-78.5,01-02-2020,29,91.9
41.1,-73.8,01-09-2019,30,4.6
41.1,-73.8,01-10-2019,31,41.1
41.1,-73.8,01-11-2019,30,13.3
41.1,-73.8,01-12-2019,31,35.2
41.1,-73.8,01-02-2020,29,13.4
41.1,-73.8,01-05-2020,31,14.7
41.1,-73.8,01-06-2020,30,14.5
30.7,-97.8,01-02-2020,29,19.8
30.7,-97.8,01-04-2020,30,18.4
30.7,-97.8,01-05-2020,31,24.9
30.7,-97.8,01-06-2020,30,7.5
30.7,-97.8,01-08-2020,31,3.9
41.7,-71.42,01-10-2019,31,76
41.7,-71.42,01-11-2019,30,31.5
41.7,-71.42,01-12-2019,31,85.3
41.7,-71.42,01-01-2020,31,7
26.2152,-80.1037,01-11-2019,30,43.3
26.2152,-80.1037,01-12-2019,31,35.2
26.2152,-80.1037,01-01-2020,31,48.4
26.2152,-80.1037,01-02-2020,29,60.7
26.2152,-80.1037,01-04-2020,30,38.5
26.2152,-80.1037,01-05-2020,31,257.7
29.4,-95.1,01-09-2019,30,184.5
29.4,-95.1,01-10-2019,31,206.6
29.4,-95.1,01-11-2019,30,49.2
29.4,-95.1,01-12-2019,31,39.8
29.4,-95.1,01-01-2020,31,162.9
29.4,-95.1,01-02-2020,29,34.3
29.4,-95.1,01-06-2020,30,174.6
39.4,-94.6,01-09-2019,30,37.5
39.4,-94.6,01-10-2019,31,11.7
39.4,-94.6,01-02-2020,29,3.2
39.4,-94.6,01-04-2020,30,18
39.4,-94.6,01-05-2020,31,17.7
39.4,-94.6,01-08-2020,31,15.4
39.0632,-84.9326,01-09-2019,30,6.5
39.0632,-84.9326,01-10-2019,31,22.9
39.0632,-84.9326,01-11-2019,30,17.6
39.0632,-84.9326,01-12-2019,31,25.8
39.0632,-84.9326,01-01-2020,31,25.8
39.0632,-84.9326,01-02-2020,29,18.7
39.0632,-84.9326,01-04-2020,30,21.4
39.0632,-84.9326,01-05-2020,31,27.3
39.0632,-84.9326,01-06-2020,30,14.5
39.0632,-84.9326,01-08-2020,31,14.1
40.73571,-74.17971,01-04-2020,30,20.9
40.73571,-74.17971,01-05-2020,31,9.9
40.73571,-74.17971,01-06-2020,30,8
40.73571,-74.17971,01-08-2020,31,21.6
26.2151,-80.10365,01-11-2019,30,44.1
26.2151,-80.10365,01-12-2019,31,35.1
26.2151,-80.10365,01-01-2020,31,48.7
26.2151,-80.10365,01-02-2020,29,60.5
26.2151,-80.10365,01-04-2020,30,39
26.2151,-80.10365,01-05-2020,31,256.2
42.9,-73.6,01-09-2019,30,28.8
42.9,-73.6,01-10-2019,31,123
42.9,-73.6,01-11-2019,30,88.7
42.9,-73.6,01-12-2019,31,46.6
42.9,-73.6,01-01-2020,31,42.3
42.9,-73.6,01-04-2020,30,57.1
42.9,-73.6,01-05-2020,31,27.6
43.3,-73.8,01-09-2019,30,25.4
43.3,-73.8,01-10-2019,31,130.8
43.3,-73.8,01-12-2019,31,54.1
43.3,-73.8,01-01-2020,31,35
43.3,-73.8,01-02-2020,29,31.6
43.3,-73.8,01-04-2020,30,80.2
43.3,-73.8,01-05-2020,31,53.1
30.6,-96.3,01-02-2020,29,13.8
40.8604,-74.0548,01-04-2020,30,23.2
40.8604,-74.0548,01-05-2020,31,16
40.8604,-74.0548,01-06-2020,30,15.1
40.2711,-86.04,01-10-2019,31,49.1
40.2711,-86.04,01-12-2019,31,37
40.2711,-86.04,01-01-2020,31,77.3
40.2711,-86.04,01-02-2020,29,49.9
40.2711,-86.04,01-05-2020,31,77.1
40.2711,-86.04,01-06-2020,30,88.2
37.3088,-121.0269,01-12-2019,31,24.3
37.3088,-121.0269,01-01-2020,31,2.5
37.3088,-121.0269,01-04-2020,30,3.3
37.3088,-121.0269,01-05-2020,31,0.6
37.3088,-121.0269,01-08-2020,31,0
34.6,-83.8,01-09-2019,30,5.2
34.6,-83.8,01-10-2019,31,174.2
34.6,-83.8,01-11-2019,30,67.4
34.6,-83.8,01-12-2019,31,132.2
34.6,-83.8,01-01-2020,31,135.3
34.6,-83.8,01-02-2020,29,228.7
34.6,-83.8,01-05-2020,31,133.3
34.6,-83.8,01-06-2020,30,125.2
47.1171,-123.7699,01-05-2019,31,7.1
47.1171,-123.7699,01-09-2019,30,33.3
47.1171,-123.7699,01-10-2019,31,37.1
47.1171,-123.7699,01-11-2019,30,24.2
47.1171,-123.7699,01-12-2019,31,60.3
47.1171,-123.7699,01-01-2020,31,156.8
47.1171,-123.7699,01-02-2020,29,46.2
47.1171,-123.7699,01-04-2020,30,17
47.1171,-123.7699,01-05-2020,31,21.6
47.1171,-123.7699,01-08-2020,31,8
40.8,-81.9,01-11-2019,30,37.5
40.8,-81.9,01-02-2020,29,33.2
40.8,-81.9,01-05-2020,31,58.8
40.8,-81.9,01-08-2020,31,50.6
34.9683,-81.0312,01-10-2001,31,226.1
38.9377,-77.0452,01-06-2002,30,63.9
38.9377,-77.0452,01-07-2002,31,46.1
38.9377,-77.0452,01-08-2002,31,54.2
38.9377,-77.0452,01-09-2002,30,79.4
38.9377,-77.0452,01-10-2002,31,110.8
38.9377,-77.0452,01-11-2002,30,92.6
38.9377,-77.0452,01-12-2002,31,56.7
38.9377,-77.0452,01-01-2003,31,53.9
38.9377,-77.0452,01-02-2003,28,99.4
38.9377,-77.0452,01-03-2003,31,95.2
38.9377,-77.0452,01-05-2003,31,141.9
38.9377,-77.0452,01-06-2003,30,163.2
38.9377,-77.0452,01-07-2003,31,155.1
38.9377,-77.0452,01-08-2003,31,124.4
38.9377,-77.0452,01-09-2003,30,172.5
38.9377,-77.0452,01-11-2003,30,105.1
38.9377,-77.0452,01-12-2003,31,99.8
38.9377,-77.0452,01-03-2004,31,51.3
38.9377,-77.0452,01-06-2004,30,75
38.9377,-77.0452,01-08-2004,31,72.2
38.9377,-77.0452,01-09-2004,30,40.4
38.9377,-77.0452,01-10-2004,31,25.2
38.9377,-77.0452,01-02-2005,28,28.6
38.9377,-77.0452,01-06-2005,30,54.4
38.9377,-77.0452,01-07-2005,31,123.8
38.9377,-77.0452,01-08-2005,31,32
38.9377,-77.0452,01-09-2005,30,2.6
38.9377,-77.0452,01-10-2005,31,194
38.9377,-77.0452,01-11-2005,30,14.4
38.9377,-77.0452,01-12-2005,31,66
38.9377,-77.0452,01-01-2006,31,61.6
38.9377,-77.0452,01-02-2006,28,40
38.9377,-77.0452,01-03-2006,31,2.4
38.9377,-77.0452,01-04-2006,30,68
38.9377,-77.0452,01-05-2006,31,16
38.9377,-77.0452,01-06-2006,30,174.4
38.9377,-77.0452,01-07-2006,31,5541
38.9377,-77.0452,01-08-2006,31,4999.2
38.9377,-77.0452,01-09-2006,30,1099
38.9377,-77.0452,01-11-2006,30,0
38.9377,-77.0452,01-12-2006,31,31
36.6184,-121.926874,01-05-2018,31,5.3
36.6184,-121.926874,01-06-2018,30,0.5
36.6184,-121.926874,01-07-2018,31,1.5
36.6184,-121.926874,01-08-2018,31,1.8
36.6184,-121.926874,01-09-2018,30,2
36.6184,-121.926874,01-10-2018,31,4.5
36.6184,-121.926874,01-11-2018,30,61.8
30.567,-87.625,01-01-2001,31,98.1
44.3853,-68.208,01-03-2000,31,76
44.3853,-68.208,01-04-2000,30,84.2
44.3853,-68.208,01-10-2000,31,154
44.069,-123.1502,01-10-2000,31,84.6
36.0333,-94.10286,01-03-2010,31,18.8
41.9363,-88.3625,01-01-2000,31,13.3
41.9363,-88.3625,01-04-2000,30,88.1
41.9363,-88.3625,01-05-2000,31,95.1
41.9363,-88.3625,01-06-2000,30,142.2
41.9363,-88.3625,01-08-2000,31,40.7
41.9363,-88.3625,01-09-2000,30,134.4
41.9363,-88.3625,01-10-2000,31,43.6
41.9363,-88.3625,01-11-2000,30,149.3
41.9363,-88.3625,01-01-2001,31,23.4
41.9363,-88.3625,01-02-2001,28,63.9
41.9363,-88.3625,01-03-2001,31,27
41.9363,-88.3625,01-04-2001,30,83.6
41.9363,-88.3625,01-05-2001,31,99.2
41.9363,-88.3625,01-07-2001,31,53.8
41.9363,-88.3625,01-09-2001,30,159.6
41.9363,-88.3625,01-11-2001,30,46.1
41.9363,-88.3625,01-12-2001,31,134
41.9363,-88.3625,01-02-2002,28,27.7
41.9363,-88.3625,01-03-2002,31,58.2
41.9363,-88.3625,01-04-2002,30,100.8
41.9363,-88.3625,01-05-2002,31,165.5
41.9363,-88.3625,01-06-2002,30,129
41.9363,-88.3625,01-07-2002,31,118.5
41.9363,-88.3625,01-08-2002,31,144.2
41.9363,-88.3625,01-09-2002,30,50.1
41.9363,-88.3625,01-10-2002,31,46.2
41.9363,-88.3625,01-11-2002,30,27.8
41.9363,-88.3625,01-12-2002,31,6.3
41.9363,-88.3625,01-01-2003,31,10
41.9363,-88.3625,01-04-2003,30,68.9
41.9363,-88.3625,01-05-2003,31,272.2
30.4463,-84.2996,01-11-2002,30,48.9
30.4463,-84.2996,01-12-2002,31,93.1
30.4463,-84.2996,01-01-2003,31,34
30.4463,-84.2996,01-02-2003,28,134.3
30.4463,-84.2996,01-03-2003,31,149.4
30.4463,-84.2996,01-04-2003,30,41.8
30.4463,-84.2996,01-05-2006,31,0
30.4463,-84.2996,01-06-2006,30,0
30.4463,-84.2996,01-07-2006,31,0
30.4463,-84.2996,01-08-2006,31,28.9
30.4463,-84.2996,01-09-2006,30,14.9
30.4463,-84.2996,01-03-2009,31,104.9
30.4463,-84.2996,01-04-2009,30,229.2
30.4463,-84.2996,01-05-2009,31,142.6
30.4463,-84.2996,01-06-2009,30,169.4
30.4463,-84.2996,01-07-2009,31,101.8
30.4463,-84.2996,01-08-2009,31,136.8
30.4463,-84.2996,01-09-2009,30,123
30.4463,-84.2996,01-10-2009,31,73.1
30.4463,-84.2996,01-11-2009,30,51.9
30.4463,-84.2996,01-12-2009,31,161.5
30.4463,-84.2996,01-01-2010,31,162.6
30.4413,-84.2993,01-06-2002,30,147.2
30.4413,-84.2993,01-02-2004,29,2997.4
30.4413,-84.2993,01-10-2005,31,4.3
30.4413,-84.2993,01-11-2010,30,28.1
41.6884,-70.5019,01-05-2001,31,6.6
41.6884,-70.5019,01-11-2001,30,19.4
39.5474,-81.6336,01-08-2002,31,37
39.0868,-96.7968,01-02-2001,28,52.1
39.0868,-96.7968,01-04-2001,30,65.1
39.0868,-96.7968,01-02-2002,28,70.1
38.9218,-77.5286,01-05-2017,31,9.5
38.9218,-77.5286,01-06-2017,30,23.5
38.9218,-77.5286,01-11-2017,30,37.4
38.9218,-77.5286,01-04-2018,30,73.1
38.9218,-77.5286,01-05-2018,31,81.6
38.9218,-77.5286,01-07-2018,31,78.6
38.9218,-77.5286,01-10-2018,31,37
38.9218,-77.5286,01-11-2018,30,126.3
38.9218,-77.5286,01-01-2019,31,73.1
38.9218,-77.5286,01-02-2019,28,60.3
38.9218,-77.5286,01-05-2019,31,119.8
38.9218,-77.5286,01-09-2019,30,17.8
38.9218,-77.5286,01-10-2019,31,108.1
38.9218,-77.5286,01-11-2019,30,62.9
38.9218,-77.5286,01-12-2019,31,55.9
38.9218,-77.5286,01-04-2020,30,137.1
38.9218,-77.5286,01-06-2020,30,119.6
35.4048,-119.132,01-12-2000,31,2.2
35.4048,-119.132,01-01-2001,31,45.5
35.4048,-119.132,01-02-2001,28,61.9
35.4048,-119.132,01-04-2001,30,12.2
42.0346,-87.9009,01-02-2000,29,21.2
42.0346,-87.9009,01-02-2001,28,65.1
41.9496,-74.547,01-12-2000,31,112
44.0164,-70.9811,01-03-2001,31,0.1
42.3363,-85.3522,01-10-2000,31,73.9
42.3363,-85.3522,01-11-2000,30,82.5
42.3363,-85.3522,01-02-2001,28,86.2
42.3363,-85.3522,01-04-2001,30,69.8
42.3363,-85.3522,01-05-2001,31,176.2
42.3363,-85.3522,01-06-2001,30,112.5
44.5443,-94.3673,01-09-2003,30,79.9
44.5443,-94.3673,01-11-2003,30,12.6
44.5443,-94.3673,01-12-2003,31,6.1
44.5443,-94.3673,01-02-2004,29,7.8
44.5443,-94.3673,01-03-2004,31,35.1
44.5443,-94.3673,01-06-2004,30,83.7
44.5443,-94.3673,01-07-2004,31,154.8
44.5443,-94.3673,01-08-2004,31,62.4
44.5443,-94.3673,01-09-2004,30,163.9
44.5443,-94.3673,01-11-2004,30,16.3
44.5443,-94.3673,01-12-2004,31,1.8
44.5443,-94.3673,01-01-2005,31,11.1
44.5443,-94.3673,01-04-2005,30,100.2
44.5443,-94.3673,01-05-2005,31,87.7
44.5443,-94.3673,01-06-2005,30,173.7
44.5443,-94.3673,01-07-2005,31,51.8
44.5443,-94.3673,01-08-2005,31,63.5
44.5443,-94.3673,01-09-2005,30,149
44.5443,-94.3673,01-12-2005,31,6.8
44.5443,-94.3673,01-01-2006,31,253.3
44.5443,-94.3673,01-02-2006,28,7.6
44.5443,-94.3673,01-03-2006,31,18.4
43.1758,-86.1271,01-07-2003,31,85.2
43.1758,-86.1271,01-04-2004,30,44
43.1758,-86.1271,01-08-2004,31,63.1
43.1758,-86.1271,01-09-2004,30,7.2
32.51429,-87.838757,01-04-2016,30,157.3
32.51429,-87.838757,01-05-2016,31,52.5
42.5587,-92.2902,01-06-2004,30,73
42.5587,-92.2902,01-07-2004,31,59.4
42.5587,-92.2902,01-08-2004,31,105.8
42.5587,-92.2902,01-09-2004,30,23.6
42.5587,-92.2902,01-12-2004,31,12.7
42.5587,-92.2902,01-01-2005,31,2.5
42.5587,-92.2902,01-02-2005,28,27.2
42.5587,-92.2902,01-03-2005,31,27.6
42.5587,-92.2902,01-05-2005,31,80.1
42.5587,-92.2902,01-06-2005,30,158.8
42.5587,-92.2902,01-09-2005,30,60.4
42.5631,-92.2854,01-06-2004,30,72.5
42.5631,-92.2854,01-07-2004,31,58.3
42.5631,-92.2854,01-08-2004,31,100.5
42.5631,-92.2854,01-09-2004,30,22.3
42.5631,-92.2854,01-12-2004,31,12.9
42.5631,-92.2854,01-02-2005,28,28.2
42.5631,-92.2854,01-03-2005,31,27.3
42.5631,-92.2854,01-05-2005,31,82.7
42.5631,-92.2854,01-06-2005,30,144.9
42.5631,-92.2854,01-09-2005,30,54
42.3754,-92.3011,01-06-2004,30,94.6
42.3754,-92.3011,01-07-2004,31,59.1
42.3754,-92.3011,01-08-2004,31,106.3
42.3754,-92.3011,01-09-2004,30,17.2
42.3754,-92.3011,01-12-2004,31,14.2
42.3754,-92.3011,01-02-2005,28,25.7
42.3754,-92.3011,01-03-2005,31,25.7
42.3754,-92.3011,01-06-2005,30,152.1
42.3754,-92.3011,01-08-2005,31,43.8
42.3754,-92.3011,01-09-2005,30,63.4
42.3717,-92.2916,01-06-2004,30,1.5
42.3717,-92.2916,01-07-2004,31,0
42.3717,-92.2916,01-12-2004,31,14.9
42.3717,-92.2916,01-01-2005,31,1.3
42.3717,-92.2916,01-02-2005,28,25.9
42.3717,-92.2916,01-03-2005,31,27.3
42.3717,-92.2916,01-06-2005,30,116.1
42.3717,-92.2916,01-08-2005,31,42.8
42.3717,-92.2916,01-09-2005,30,63.5
42.6069,-92.3352,01-06-2004,30,82.2
42.6069,-92.3352,01-07-2004,31,50.7
42.6069,-92.3352,01-08-2004,31,102
42.6069,-92.3352,01-09-2004,30,22.3
42.6069,-92.3352,01-02-2005,28,29.8
42.6069,-92.3352,01-03-2005,31,24
42.6069,-92.3352,01-05-2005,31,85.4
42.6069,-92.3352,01-06-2005,30,192.7
42.5961,-92.3329,01-06-2004,30,65.9
42.5961,-92.3329,01-07-2004,31,53.2
42.5961,-92.3329,01-08-2004,31,98
42.5961,-92.3329,01-09-2004,30,22.8
42.5961,-92.3329,01-02-2005,28,27
42.5961,-92.3329,01-03-2005,31,19.5
42.5961,-92.3329,01-05-2005,31,65
42.5961,-92.3329,01-06-2005,30,119.5
42.4109,-92.118,01-06-2004,30,101.5
42.4109,-92.118,01-07-2004,31,70.8
42.4109,-92.118,01-08-2004,31,102.2
42.4109,-92.118,01-09-2004,30,15.2
42.4109,-92.118,01-11-2004,30,57.2
42.4109,-92.118,01-12-2004,31,12.6
42.4109,-92.118,01-01-2005,31,4
42.4109,-92.118,01-02-2005,28,24.9
42.4109,-92.118,01-03-2005,31,22
42.4109,-92.118,01-06-2005,30,105.3
42.4109,-92.118,01-08-2005,31,43.9
42.4109,-92.118,01-09-2005,30,59.6
42.3952,-92.1153,01-06-2004,30,84.5
42.3952,-92.1153,01-09-2004,30,1.3
42.3952,-92.1153,01-01-2005,31,1.8
42.3952,-92.1153,01-02-2005,28,26.2
42.3952,-92.1153,01-03-2005,31,24.3
42.3952,-92.1153,01-06-2005,30,26
42.3952,-92.1153,01-08-2005,31,7
42.3952,-92.1153,01-09-2005,30,17.8
42.4727,-92.4177,01-06-2004,30,61.6
42.4727,-92.4177,01-07-2004,31,48.7
42.4727,-92.4177,01-08-2004,31,137
42.4727,-92.4177,01-12-2004,31,13.9
42.4727,-92.4177,01-02-2005,28,32.5
42.4727,-92.4177,01-03-2005,31,27.3
42.5951,-92.5526,01-06-2004,30,87.3
42.5951,-92.5526,01-07-2004,31,93.1
42.5951,-92.5526,01-08-2004,31,69.8
42.5951,-92.5526,01-09-2004,30,23.3
42.5951,-92.5526,01-12-2004,31,10.6
42.5951,-92.5526,01-03-2005,31,40.7
42.5951,-92.5526,01-05-2005,31,42.3
42.5951,-92.5526,01-06-2005,30,166.5
31.1454,-81.4893,01-03-2004,31,44
38.7777,-120.8897,01-01-2000,31,233.2
38.7777,-120.8897,01-04-2000,30,22.1
38.7777,-120.8897,01-08-2000,31,0
38.7777,-120.8897,01-09-2000,30,22.6
38.7777,-120.8897,01-10-2000,31,116.2
38.7777,-120.8897,01-11-2000,30,31.5
38.7777,-120.8897,01-12-2000,31,33.1
38.7777,-120.8897,01-01-2001,31,110.6
38.7777,-120.8897,01-02-2001,28,180.2
38.7777,-120.8897,01-03-2001,31,52.6
38.7777,-120.8897,01-04-2001,30,79
38.7777,-120.8897,01-05-2001,31,0
38.7777,-120.8897,01-06-2001,30,4
38.7777,-120.8897,01-07-2001,31,0
38.7777,-120.8897,01-08-2001,31,0
38.7777,-120.8897,01-09-2001,30,14
38.7777,-120.8897,01-11-2001,30,79
38.7777,-120.8897,01-12-2001,31,292.4
38.7777,-120.8897,01-02-2002,28,91.8
38.7777,-120.8897,01-06-2002,30,0
38.7777,-120.8897,01-06-2003,30,0
38.7777,-120.8897,01-07-2003,31,6.5
38.7777,-120.8897,01-11-2004,30,107.8
38.7777,-120.8897,01-12-2004,31,200.8
38.7777,-120.8897,01-01-2005,31,177.1
38.7777,-120.8897,01-02-2005,28,92.3
38.7777,-120.8897,01-03-2005,31,187.6
38.7777,-120.8897,01-04-2005,30,32.5
38.7777,-120.8897,01-05-2005,31,137.7
38.7777,-120.8897,01-06-2005,30,5
38.7777,-120.8897,01-09-2005,30,4.2
38.7777,-120.8897,01-10-2005,31,14.1
38.7777,-120.8897,01-11-2005,30,38.5
38.7777,-120.8897,01-12-2005,31,277.4
38.7777,-120.8897,01-01-2006,31,151.5
38.7777,-120.8897,01-02-2006,28,109
38.7777,-120.8897,01-03-2006,31,237.4
35.64169,-83.68974,01-03-2001,31,102.9
35.64169,-83.68974,01-04-2001,30,103.3
35.64169,-83.68974,01-05-2001,31,97.3
35.64169,-83.68974,01-06-2001,30,116.2
40.265,-85.3099,01-04-2004,30,32.3
40.265,-85.3099,01-09-2004,30,5.2
31.7535,-106.4733,01-03-2000,31,0.2
31.7535,-106.4733,01-10-2000,31,31.5
31.7535,-106.4733,01-11-2000,30,22.1
31.7535,-106.4733,01-12-2000,31,13.1
31.7535,-106.4733,01-01-2001,31,2.3
31.7535,-106.4733,01-02-2001,28,3.5
31.7535,-106.4733,01-03-2001,31,8.6
31.7535,-106.4733,01-04-2001,30,0
31.7535,-106.4733,01-05-2001,31,0.1
31.7535,-106.4733,01-06-2001,30,1.8
31.7535,-106.4733,01-07-2001,31,50.1
31.7535,-106.4733,01-08-2001,31,7.5
31.7535,-106.4733,01-09-2001,30,22.4
31.7535,-106.4733,01-10-2001,31,0
31.7535,-106.4733,01-11-2001,30,8.8
31.7535,-106.4733,01-12-2001,31,1.4
31.7535,-106.4733,01-01-2002,31,0
31.7535,-106.4733,01-02-2002,28,34
31.7535,-106.4733,01-03-2002,31,0
31.7535,-106.4733,01-04-2002,30,0
30.99,-83.3818,01-02-2001,28,21.7
30.99,-83.3818,01-03-2001,31,219.7
30.99,-83.3818,01-06-2001,30,253.5
30.99,-83.3818,01-07-2001,31,180.2
30.99,-83.3818,01-08-2001,31,71.9
30.99,-83.3818,01-09-2001,30,63.7
30.99,-83.3818,01-11-2001,30,14
30.99,-83.3818,01-01-2002,31,101.2
30.99,-83.3818,01-02-2002,28,44.8
30.99,-83.3818,01-03-2002,31,169.7
30.99,-83.3818,01-05-2002,31,87.3
30.99,-83.3818,01-07-2002,31,129.2
30.99,-83.3818,01-08-2002,31,107.2
30.99,-83.3818,01-09-2002,30,131.3
30.99,-83.3818,01-10-2002,31,119.8
30.99,-83.3818,01-11-2002,30,147
30.99,-83.3818,01-12-2002,31,136.5
30.99,-83.3818,01-01-2003,31,31.5
30.99,-83.3818,01-02-2003,28,147.9
30.99,-83.3818,01-03-2003,31,246.7
30.99,-83.3818,01-04-2003,30,169.5
30.99,-83.3818,01-05-2003,31,73.3
30.99,-83.3818,01-06-2003,30,145.3
30.99,-83.3818,01-07-2003,31,169.7
30.99,-83.3818,01-09-2003,30,62.8
30.99,-83.3818,01-10-2003,31,110.7
30.99,-83.3818,01-11-2003,30,42.3
30.99,-83.3818,01-12-2003,31,47.6
30.99,-83.3818,01-01-2004,31,48.9
30.99,-83.3818,01-02-2004,29,162.8
30.99,-83.3818,01-03-2004,31,4.8
30.99,-83.3818,01-04-2004,30,81.9
30.99,-83.3818,01-05-2004,31,17.8
30.99,-83.3818,01-06-2004,30,202.5
30.99,-83.3818,01-07-2004,31,61.4
30.99,-83.3818,01-08-2004,31,170
30.99,-83.3818,01-09-2004,30,475.6
30.99,-83.3818,01-10-2004,31,39.6
30.99,-83.3818,01-11-2004,30,102.4
30.99,-83.3818,01-01-2005,31,53.5
30.99,-83.3818,01-02-2005,28,69.5
33.80949,-84.20433,01-02-2003,28,109
37.0235,-121.9892,01-10-2000,31,119.4
44.882,-69.446,01-08-2000,31,49.6
44.882,-69.446,01-09-2000,30,72.8
44.882,-69.446,01-12-2000,31,91.1
44.882,-69.446,01-01-2001,31,0
44.882,-69.446,01-02-2001,28,5.8
44.882,-69.446,01-03-2001,31,7
44.882,-69.446,01-04-2001,30,19
44.882,-69.446,01-05-2001,31,51.8
44.882,-69.446,01-06-2001,30,106.4
44.882,-69.446,01-07-2001,31,62.5
44.882,-69.446,01-08-2001,31,31
44.882,-69.446,01-10-2001,31,33.3
44.882,-69.446,01-01-2002,31,82.7
44.882,-69.446,01-02-2002,28,60.8
44.882,-69.446,01-03-2002,31,39.4
44.882,-69.446,01-04-2002,30,125.7
44.882,-69.446,01-05-2002,31,80
44.882,-69.446,01-06-2002,30,105.7
44.882,-69.446,01-07-2002,31,81.6
44.882,-69.446,01-08-2002,31,15.4
44.882,-69.446,01-09-2002,30,131.4
44.882,-69.446,01-10-2002,31,83.6
44.882,-69.446,01-11-2002,30,86.4
44.882,-69.446,01-12-2002,31,73.6
44.882,-69.446,01-01-2003,31,31.4
44.882,-69.446,01-03-2003,31,122.4
